@relation Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {0,1,2}

@data
0.034924,-1.003384,0.080647,0
-0.78717,0.610504,0.040863,0
-0.785522,0.611969,0.037201,0
-0.820532,-0.559463,-0.00528,2
0.011122,-1.030169,0.180575,1
0.01911,0.030781,-0.999277,0
0.056188,0.119132,-0.855957,1
-0.786041,0.612946,0.037292,0
1.215704,-0.036706,0.082357,2
-0.178218,-0.987556,-0.002935,2
-0.373154,-0.95385,0.206975,2
-0.784912,0.611328,0.034271,0
-0.787811,0.610016,0.03894,0
0.990784,-0.129842,0.07654,2
0.050405,-0.975955,0.038366,1
0.021585,0.022132,-0.875425,1
0.034787,-1.002488,0.07382,0
0.032742,-1.002132,0.08152,0
-0.785522,0.611511,0.03714,0
-0.785645,0.611572,0.037201,0
0.033625,-1.001469,0.080391,0
0.019982,-1.000952,0.122534,1
-0.787048,0.636078,0.04538,1
0.035,-1.00303,0.078147,0
0.021581,0.032322,-0.998811,0
0.01985,0.030561,-1.000311,0
0.009895,-0.008918,-1.000555,1
0.033619,-1.002902,0.083708,0
-0.234393,-0.953434,0.061654,2
0.014535,0.030062,-0.959229,0
0.020938,0.031866,-0.997605,0
0.022223,0.032926,-0.999741,0
0.032885,-1.001615,0.079997,0
-0.786224,0.608521,0.040588,0
-0.786804,0.61145,0.036194,0
0.033913,-1.004058,0.080831,0
0.020966,0.032305,-0.998145,0
0.032689,-1.00354,0.082091,0
0.881055,-0.070984,0.448638,2
0.011203,0.050626,-0.866078,1
0.019099,0.032091,-0.998921,0
0.056239,0.168722,-1.076323,1
0.443878,1.043365,-0.096222,2
0.033632,-1.002545,0.081056,0
0.023911,-1.017593,0.086653,1
0.01147,-0.00605,-1.132907,1
0.033548,-1.00212,0.082554,0
-0.774017,0.636597,0.040283,1
0.022095,0.029337,-0.999404,0
0.034094,-1.003628,0.080589,0
0.032845,-1.002257,0.083258,0
-0.786377,0.608429,0.039612,0
0.033484,-1.003525,0.081447,0
-0.786041,0.609741,0.040039,0
-0.785767,0.610626,0.039948,0
0.062089,-0.979018,-0.008817,1
-0.786224,0.610626,0.041412,0
-0.74656,-0.620525,0.010168,2
-0.785492,0.611603,0.035858,0
-0.790894,0.559448,0.048645,1
0.065007,-0.978912,-0.009197,1
